|0.0,0.0,-1.0,1.2246467991473532E-16|1.0,0.0,0.043013558610330294,-0.29013264379648207|2.0,0.0,1.1870329246502607,-0.582309655078199|3.0,0.0,2.383073211738399,-0.7870205447923363|4.0,0.0,3.54114281127783,-0.8885100339095708|5.0,0.0,4.595747550221771,-0.9146474494843903|6.0,0.0,5.527325755083812,-0.881237231506313|7.0,0.0,6.361800692029844,-0.7698711861775408|8.0,0.0,7.169247428656079,-0.5566418644024749|9.0,0.0,8.036481282731819,-0.26764095627141915|10.0,0.0,9.0,1.2246467991473532E-16|11.0,0.0,10.034650385485156,0.26096000029897887|12.0,0.0,11.15673479481583,0.5374977150888174|13.0,0.0,12.330362292952964,0.742687916490357|14.0,0.0,13.476988529703924,0.8523256431310379|15.0,0.0,14.533893705672053,0.8847287281352791|16.0,0.0,15.479052293952298,0.8535885938575082|17.0,0.0,16.33351297082297,0.7455166261987577|18.0,0.0,17.159345651537198,0.5415720325225296|19.0,0.0,18.035603845587026,0.26446182589074235|20.0,0.0,19.0,1.2246467991473532E-16|21.0,0.0,20.023657700042275,-0.2162306946602641|22.0,0.0,21.08217825772382,-0.39699275737111284|23.0,0.0,22.143913885340385,-0.5168332074151221|24.0,0.0,23.178269462369755,-0.5698762352703537|25.0,0.0,24.170686856084746,-0.5587841348225588|26.0,0.0,25.126904762016725,-0.4875496953244126|27.0,0.0,26.068859353428305,-0.364660247767762|28.0,0.0,27.022829806526783,-0.21245802641349454|29.0,0.0,28.002615465958172,-0.07227787527428339|30.0,0.0,29.0,1.2246467991473532E-16|31.0,0.0,30.003349752504683,0.08178193056856052|32.0,0.0,31.029999103138447,0.243101337075268|33.0,0.0,32.091227103673276,0.4172910529857346|34.0,0.0,33.16859882976907,0.5556726501625151|35.0,0.0,34.22715653154997,0.6345967012789557|36.0,0.0,35.23800166093309,0.647578976850905|37.0,0.0,36.193221435358886,0.590853913954735|38.0,0.0,37.1111760940521,0.4582489107630367|39.0,0.0,38.03226612750906,0.25197450671384675|40.0,0.0,39.0,1.2246467991473532E-16|41.0,0.0,40.053573883790044,-0.32292043378475477|42.0,0.0,41.24862332275225,-0.6598735400727435|43.0,0.0,42.52574458529719,-0.880387302058056|44.0,0.0,43.75703742917411,-0.9700356638689499|45.0,0.0,44.85228793070384,-0.9890304062991417|46.0,0.0,45.78223951589444,-0.9760022395272012|47.0,0.0,46.566120708610995,-0.9009710098020763|48.0,0.0,47.28379658884294,-0.6978915917583426|49.0,0.0,48.06683004410761,-0.35943543706734155|
|0.0,1.0,-0.992328234905465,1.1236312024102508|1.0,1.0,0.01338479412160476,0.8369342600987817|2.0,1.0,1.120585162589321,0.5239437598960086|3.0,1.0,2.301943653647606,0.2839571679591041|4.0,1.0,3.4729056264877585,0.1501932446657429|5.0,1.0,4.560394516801651,0.10180902969249017|6.0,1.0,5.534096942951399,0.11516422911775992|7.0,1.0,6.407069897523393,0.1947460688844289|8.0,1.0,7.232264978351629,0.3592325409834116|9.0,1.0,8.085004360505726,0.5965362721303615|10.0,1.0,9.013993225629061,0.8332947484491966|11.0,1.0,10.00339677307834,1.0823529482734788|12.0,1.0,11.06807232140011,1.3626441807880314|13.0,1.0,12.19121507724804,1.5881045389461863|14.0,1.0,13.307075738878783,1.7210103801954693|15.0,1.0,14.355541975409603,1.7646396893577019|16.0,1.0,15.313314974650035,1.726955071486621|17.0,1.0,16.200717868087125,1.600955966444141|18.0,1.0,17.07583317682927,1.3819891136544602|19.0,1.0,18.005444083527966,1.1042042657978655|20.0,1.0,19.011146276175555,0.8511097287310807|21.0,1.0,20.059425907977023,0.6604114586515726|22.0,1.0,21.121561773417124,0.5221440781177551|23.0,1.0,22.164450507638858,0.4505848147211089|24.0,1.0,23.166361402890118,0.44768968015375066|25.0,1.0,24.1263760857886,0.5133982567664275|26.0,1.0,25.064705940426002,0.6461285231534004|27.0,1.0,26.014045646318245,0.8329849933209932|28.0,1.0,27.00080427709541,1.040098719794673|29.0,1.0,28.023524320028116,1.215627564155069|30.0,1.0,29.04702917473045,1.3030620500575358|31.0,1.0,30.07142759035263,1.3711512899636433|32.0,1.0,31.124653092089048,1.483495388613722|33.0,1.0,32.191414288451696,1.5883784046682274|34.0,1.0,33.2444262387861,1.6550635781090879|35.0,1.0,34.25743935576881,1.6697788363623904|36.0,1.0,35.2189414339099,1.6244577778659448|37.0,1.0,36.13979670680303,1.50995126666486|38.0,1.0,37.0533425853199,1.3222417403614763|39.0,1.0,38.00306271307072,1.0782051528358458|40.0,1.0,39.015541675432175,0.8243816433594977|41.0,1.0,40.11546087831498,0.5335339860089643|42.0,1.0,41.34223484525448,0.2467769246746342|43.0,1.0,42.624318299560365,0.07325124226962942|44.0,1.0,43.845433440814126,0.012017622231327296|45.0,1.0,44.930219845722426,0.002437605926828068|46.0,1.0,45.85562083815945,0.010477560827334531|47.0,1.0,46.63826108688633,0.06772055759051432|48.0,1.0,47.3486482046858,0.24122411823980128|49.0,1.0,48.108630240541885,0.5467230957531731|
|0.0,2.0,-0.9909737728484204,2.13405588956315|1.0,2.0,0.00662283627017457,1.8851008678009817|2.0,2.0,1.0816143099152704,1.6043136036611882|3.0,2.0,2.2197701212225653,1.3745071253299925|4.0,2.0,3.3590580137512527,1.2324106760359999|5.0,2.0,4.4393700156491125,1.1719335650766154|6.0,2.0,5.43160569171995,1.1772437114704966|7.0,2.0,6.34259931437696,1.2464588010318498|8.0,2.0,7.211009598173144,1.3855944777062175|9.0,2.0,8.092328684044944,1.580318237002827|10.0,2.0,9.025858366398616,1.7740617834795838|11.0,2.0,10.000137738020372,1.9834031006214614|12.0,2.0,11.026521274841972,2.2287775593555916|13.0,2.0,12.101415461544775,2.4388004412591338|14.0,2.0,13.18059569294603,2.5732159990626595|15.0,2.0,14.21791598923149,2.623173009765538|16.0,2.0,15.192939827217648,2.5904692011515245|17.0,2.0,16.119568865897037,2.474174037777447|18.0,2.0,17.040000877080182,2.280003007114534|19.0,2.0,18.00086470944732,2.041577291544937|20.0,2.0,19.015304215519063,1.825718010036984|21.0,2.0,20.057938573009423,1.664559591318405|22.0,2.0,21.10460368249189,1.5547299307241544|23.0,2.0,22.128147674504564,1.510231153983638|24.0,2.0,23.114185352462776,1.5359607665202208|25.0,2.0,24.069153650499587,1.6345891714497833|26.0,2.0,25.019501298049814,1.8034744406597478|27.0,2.0,26.00028382242356,2.0238236078702245|28.0,2.0,27.032955853905914,2.2546087577149723|29.0,2.0,28.103347526672167,2.4427350698499937|30.0,2.0,29.15920837846422,2.541358891268295|31.0,2.0,30.200129288476187,2.6001723459527177|32.0,2.0,31.2547018388407,2.66673131842787|33.0,2.0,32.29669922727962,2.7108924131617345|34.0,2.0,33.30244636007394,2.7165325668983225|35.0,2.0,34.26021411358928,2.6728423606369494|36.0,2.0,35.17712369339241,2.568220541712326|37.0,2.0,36.08106955351342,2.3944196173112844|38.0,2.0,37.01291308732463,2.1601856011787626|39.0,2.0,38.00479360339553,1.902203128078971|40.0,2.0,39.05326530517207,1.6779853767154818|41.0,2.0,40.16816653734657,1.444974693901255|42.0,2.0,41.3841220086241,1.2121584551835416|43.0,2.0,42.639139895630265,1.0673800425284345|44.0,2.0,43.84072575749817,1.0127656227240323|45.0,2.0,44.926265361485946,1.0027221033818097|46.0,2.0,45.87407862010404,1.0079597759742316|47.0,2.0,46.6945877867774,1.0477797628623564|48.0,2.0,47.438067837653435,1.1728166799792703|49.0,2.0,48.19635274859938,1.4048940469830309|
|0.0,3.0,-0.9976229737118504,3.0689086520135507|1.0,3.0,0.007084255094055858,2.881179448251264|2.0,3.0,1.0559981513090118,2.670059839261728|3.0,3.0,2.139797210395111,2.490047883859703|4.0,3.0,3.223443722529848,2.369952106644502|5.0,3.0,4.2715311684629595,2.3149210545644694|6.0,3.0,5.2660003243267655,2.320850181394719|7.0,3.0,6.211630005520793,2.3847986087427504|8.0,3.0,7.132849933883489,2.5019530515763293|9.0,3.0,8.062146217109413,2.6529693357672612|10.0,3.0,9.021280868858083,2.794795559656202|11.0,3.0,10.001384759019185,2.947392011245155|12.0,3.0,11.008841296196618,3.132681663672114|13.0,3.0,12.046085630758192,3.3000789498682037|14.0,3.0,13.090706500110105,3.416155416951393|15.0,3.0,14.115577395930163,3.4666868944060134|16.0,3.0,15.106324383861104,3.4487135980987906|17.0,3.0,16.068595981105773,3.3639870239276144|18.0,3.0,17.024892523337286,3.2217327421840833|19.0,3.0,18.001116892654792,3.0472497392625986|20.0,3.0,19.006629347619537,2.885044586951246|21.0,3.0,20.030151424230333,2.756291690585765|22.0,3.0,21.057580265442247,2.665567579448256|23.0,3.0,22.070059475392096,2.6322900318294606|24.0,3.0,23.05733682737309,2.6662543738519324|25.0,3.0,24.02638371735506,2.7718085580731606|26.0,3.0,25.001511117268382,2.9450459186105062|27.0,3.0,26.013790898186095,3.165504101155863|28.0,3.0,27.080422440001584,3.3929085277101505|29.0,3.0,28.184542352939484,3.5788167463459613|30.0,3.0,29.272305419879324,3.6859013034416774|31.0,3.0,30.329234017818877,3.7416690617442496|32.0,3.0,31.37042123283365,3.7769366614681656|33.0,3.0,32.37325780036926,3.7792266776760264|34.0,3.0,33.326407695728115,3.7391031102800856|35.0,3.0,34.23535039823674,3.644446263487721|36.0,3.0,35.12485154676147,3.483854507878358|37.0,3.0,36.03420107462091,3.259292182174081|38.0,3.0,37.000000926262985,2.9986389250148955|39.0,3.0,38.030820112905076,2.7536458921579015|40.0,3.0,39.09230987149943,2.5803589264352023|41.0,3.0,40.188219585939024,2.416037193524291|42.0,3.0,41.357914481614465,2.233366980179187|43.0,3.0,42.56036336913322,2.101824275099741|44.0,3.0,43.73206858830883,2.0365620110099583|45.0,3.0,44.82272690270354,2.015838301408289|46.0,3.0,45.80949218882588,2.01831432022177|47.0,3.0,46.69499325536117,2.0476498093007898|48.0,3.0,47.50829148296191,2.129240139721517|49.0,3.0,48.30547230027514,2.2805340353325296|
|0.0,4.0,-0.9992743356321735,3.961910603222441|1.0,4.0,0.011112703637808252,3.8513328715099577|2.0,4.0,1.0361968874216605,3.733384996325592|3.0,4.0,2.0694462618709633,3.633844649835515|4.0,4.0,3.0980382532471595,3.5681840584293294|5.0,4.0,4.110512551536912,3.54304039672349|6.0,4.0,5.102348015277234,3.559294980374311|7.0,4.0,6.077674160607799,3.6135869489917924|8.0,4.0,7.047041991377634,3.6968976512751914|9.0,4.0,8.021930058776535,3.791723284846511|10.0,4.0,9.008392416300406,3.8707158170948412|11.0,4.0,10.001036807292996,3.9544748463305206|12.0,4.0,11.002057413994212,4.064113922326435|13.0,4.0,12.014662376041315,4.1706158457220575|14.0,4.0,13.032451514310575,4.252685432583876|15.0,4.0,14.045364790943367,4.297777799087505|16.0,4.0,15.046299821159733,4.300758988028694|17.0,4.0,16.034968852019613,4.2621352388132|18.0,4.0,17.01782765273657,4.187982659495626|19.0,4.0,18.00420296720796,4.0915874963222025|20.0,4.0,19.000013698045894,3.994765890319124|21.0,4.0,20.004756827055736,3.9025780994445523|22.0,4.0,21.01545747407289,3.824854304531727|23.0,4.0,22.022712933023122,3.788080230465081|24.0,4.0,23.018559792488045,3.8082316004163057|25.0,4.0,24.005752982195002,3.8928885272911193|26.0,4.0,25.000814061834983,4.04034180181022|27.0,4.0,26.02793954208539,4.234730624671861|28.0,4.0,27.10363057972007,4.443307864115922|29.0,4.0,28.21877106305442,4.624244621986348|30.0,4.0,29.33127107749798,4.743506306771695|31.0,4.0,30.405364889180202,4.803995699603129|32.0,4.0,31.431686286096088,4.822811960650028|33.0,4.0,32.39831919619171,4.798736633896683|34.0,4.0,33.30971456326074,4.72353715580175|35.0,4.0,34.18870208580361,4.584632957008571|36.0,4.0,35.07403487245599,4.377609034018526|37.0,4.0,36.00734726492183,4.120998130323691|38.0,4.0,37.00988855749992,3.859716959576702|39.0,4.0,38.06332581046548,3.6497979687953745|40.0,4.0,39.11307167329737,3.538092927860521|41.0,4.0,40.1665964007984,3.447335146008162|42.0,4.0,41.26927973619344,3.3173229928711|43.0,4.0,42.40162374534704,3.198784761835188|44.0,4.0,43.53026807385637,3.1171908940425475|45.0,4.0,44.621261849868844,3.0744961298648006|46.0,4.0,45.65205609973656,3.06248464424871|47.0,4.0,46.615706069770184,3.07678920327559|48.0,4.0,47.52118338965181,3.122085053291225|49.0,4.0,48.39266827748819,3.20555165125048|
|0.0,5.0,-0.9879712276273651,4.84536218644692|1.0,5.0,0.016515638589785886,4.819006876203698|2.0,5.0,1.019124902663628,4.805361762684301|3.0,5.0,2.0191641264909945,4.805164199291232|4.0,5.0,3.0167135965702334,4.817934493024753|5.0,5.0,4.012566304257657,4.841966153901711|6.0,5.0,5.007937892872834,4.874251140751067|7.0,5.0,6.004022737570255,4.910393679224342|8.0,5.0,7.001537245886794,4.944573213617664|9.0,5.0,8.000462855419526,4.969578024325927|10.0,5.0,9.00026757698702,4.976868152330675|11.0,5.0,10.000121261405953,4.98442732818111|12.0,5.0,11.000052172897753,5.010214845740243|13.0,5.0,12.00104229281489,5.0456453640085|14.0,5.0,13.003485333907776,5.083417745492806|15.0,5.0,14.006935631714676,5.117571937306773|16.0,5.0,15.010355616992314,5.143540918143008|17.0,5.0,16.01258289117991,5.158137450369526|18.0,5.0,17.012799508919855,5.159484138431138|19.0,5.0,18.010854962762256,5.146942489797684|20.0,5.0,19.007359288337057,5.121096728070115|21.0,5.0,20.002291506389657,5.067659158861037|22.0,5.0,21.000002364755268,4.997825257499562|23.0,5.0,22.001529480238887,4.944713282173988|24.0,5.0,23.002328991684763,4.931790329371425|25.0,5.0,24.0003664068249,4.9729319487987445|26.0,5.0,25.00264186879174,5.072641297570824|27.0,5.0,26.025432485529024,5.2240940867980825|28.0,5.0,27.08621854998866,5.406206181163182|29.0,5.0,28.189332926715544,5.585507383636121|30.0,5.0,29.3134627314029,5.727094614769793|31.0,5.0,30.403904321630357,5.802913408923423|32.0,5.0,31.42185350066978,5.815932978443826|33.0,5.0,32.36633801802108,5.773610039098868|34.0,5.0,33.256970317688484,5.66925846367756|35.0,5.0,34.13095292218032,5.494729397280039|36.0,5.0,35.033909139767395,5.258202342698568|37.0,5.0,36.00001555589061,4.994422228111175|38.0,5.0,37.03005647824548,4.756669844436754|39.0,5.0,38.08529038684389,4.595888228827976|40.0,5.0,39.106681257250706,4.550576342575492|41.0,5.0,40.11211334783713,4.5399377293115455|42.0,5.0,41.147561194612635,4.477172989345654|43.0,5.0,42.20696156700261,4.3908283954508|44.0,5.0,43.28159109678276,4.304378948149065|45.0,5.0,44.358003846769556,4.233292142183666|46.0,5.0,45.42079880993627,4.1848153697298|47.0,5.0,46.45649745577545,4.160592480125749|48.0,5.0,47.456378972910095,4.160669207698348|49.0,5.0,48.41799926918453,4.186811738076445|
|0.0,6.0,-0.9679049560192358,5.748683474253281|1.0,6.0,0.019308013227365084,5.804441243919015|2.0,6.0,1.0055223427640523,5.895051492347433|3.0,6.0,2.0000026500372563,5.9976978124555735|4.0,6.0,3.004340728119105,6.093073166474585|5.0,6.0,4.0140348462068935,6.166951236909873|6.0,6.0,5.02248576567112,6.210869442272755|7.0,6.0,6.02485109415024,6.22155047149581|8.0,6.0,7.02021293412035,6.200043259158979|9.0,6.0,8.011550444914436,6.151550245962024|10.0,6.0,9.003705889873189,6.086011895262362|11.0,6.0,10.000138678068726,6.0166534352565915|12.0,6.0,11.000914432616273,5.957244543675258|13.0,6.0,12.003285941276271,5.9189994744308985|14.0,6.0,13.00420237887031,5.908418900681137|15.0,6.0,14.00262639679794,5.9275714446109795|16.0,6.0,15.000331798785957,5.974241749254271|17.0,6.0,16.000869198800963,6.041685034429295|18.0,6.0,17.007028872109505,6.118356829865782|19.0,6.0,18.017871891930717,6.188213653437395|20.0,6.0,19.027172285520315,6.231530209562877|21.0,6.0,20.023307990279818,6.214645564009025|22.0,6.0,21.01105055676254,6.148253157539134|23.0,6.0,22.00250675430511,6.07076174667905|24.0,6.0,23.000087069494363,6.0131958860114425|25.0,6.0,24.000002432099695,5.997794508336463|26.0,6.0,25.000704532447255,6.037530900982265|27.0,6.0,26.009289864012153,6.1359905380934405|28.0,6.0,27.041600018102297,6.285428580731649|29.0,6.0,28.114281393689204,6.46422252254157|30.0,6.0,29.230970849814533,6.639213709306219|31.0,6.0,30.331202265515703,6.743444409723195|32.0,6.0,31.34886517228081,6.7589620781904065|33.0,6.0,32.289225656191476,6.7034200965167|34.0,6.0,33.18292398375101,6.576529950367435|35.0,6.0,34.07509855369691,6.380206936583825|36.0,6.0,35.00936206516136,6.136515501166105|37.0,6.0,36.006044196874484,5.8902190297314|38.0,6.0,37.048101629377285,5.693586077330308|39.0,6.0,38.088255010567636,5.5892432906878176|40.0,6.0,39.07773906500392,5.613432065763134|41.0,6.0,40.048920458727,5.691053878205378|42.0,6.0,41.04144072815216,5.715106822906297|43.0,6.0,42.04935841128464,5.689708895060235|44.0,6.0,43.073292241303136,5.624217177120838|45.0,6.0,44.11609451535807,5.53233442053117|46.0,6.0,45.177741419253195,5.430885928492147|47.0,6.0,46.25115159448871,5.337258673717111|48.0,6.0,47.32060542234976,5.266226868944187|49.0,6.0,48.363497823177106,5.22872509511866|
|0.0,7.0,-0.9526580789987057,6.695956278607014|1.0,7.0,0.015451726865826632,6.824886614250889|2.0,7.0,1.0000384515695115,7.008769359184123|3.0,7.0,2.020039105724253,7.199189973869868|4.0,7.0,3.0658257568027047,7.356817156743843|5.0,7.0,4.112012020377055,7.459866663333146|6.0,7.0,5.135219895947225,7.502150745926432|7.0,7.0,6.1256339359109315,7.485266922393636|8.0,7.0,7.089866719647109,7.414315594678846|9.0,7.0,8.046376407780127,7.301001734815044|10.0,7.0,9.014570756259118,7.170085877074714|11.0,7.0,10.000454744127198,7.030154294257616|12.0,7.0,11.005930493692768,6.891253429340991|13.0,7.0,12.023479486316488,6.78457556694913|14.0,7.0,13.037517431225895,6.728656481916373|15.0,7.0,14.03681201456205,6.731171235341184|16.0,7.0,15.021821949037692,6.792231617863596|17.0,7.0,16.004596129262517,6.90423396154775|18.0,7.0,17.001171700279844,7.0483945004948305|19.0,7.0,18.018829057651494,7.193141352099821|20.0,7.0,19.04550595766561,7.298229983650468|21.0,7.0,20.05002312436857,7.312320245526198|22.0,7.0,21.030780807268115,7.246199424126372|23.0,7.0,22.01017380903051,7.142281803723547|24.0,7.0,23.000714066629733,7.037783903561108|25.0,7.0,24.000664699964066,6.963545122382702|26.0,7.0,25.001724196156886,6.941302304462778|27.0,7.0,26.000130782566877,6.983827553380043|28.0,7.0,27.004568206350328,7.095475359079682|29.0,7.0,28.03693385976088,7.269264942992816|30.0,7.0,29.123571175267156,7.481531426988314|31.0,7.0,30.219385743546063,7.625013105959281|32.0,7.0,31.241297865028343,7.651437694940547|33.0,7.0,32.19276282358278,7.590227194400557|34.0,7.0,33.10821949138962,7.452468257961384|35.0,7.0,34.0325113265887,7.2529143468070565|36.0,7.0,35.00029539101372,7.024304213042107|37.0,7.0,36.01748795237978,6.813800976691261|38.0,7.0,37.056888588546,6.667523135263153|39.0,7.0,38.07417428149992,6.62204929029858|40.0,7.0,39.041011726063466,6.716554254834859|41.0,7.0,40.00669028538153,6.884519218722017|42.0,7.0,41.00000638377688,7.003573165683504|43.0,7.0,42.0015581474084,7.055802033954476|44.0,7.0,43.00062847475588,7.035447912931967|45.0,7.0,44.00145722460961,6.9460340318750795|46.0,7.0,45.0198954780662,6.801517945181634|47.0,7.0,46.07139146412559,6.628939105939218|48.0,7.0,47.15489486593657,6.465399857482594|49.0,7.0,48.24250792554169,6.347155640958091|
|0.0,8.0,-0.9560950253242617,7.706943175219891|1.0,8.0,0.005485973377727937,7.89539669770244|2.0,8.0,1.0111600103256277,8.148981457976445|3.0,8.0,2.080511529854162,8.393116971484146|4.0,8.0,3.181646585517364,8.574715311266901|5.0,8.0,4.263574405572503,8.676518546583985|6.0,8.0,5.289273853576,8.70346879446731|7.0,8.0,6.250234851861608,8.661704029485248|8.0,8.0,7.166712235214573,8.552839489417051|9.0,8.0,8.078062771886126,8.38733931819234|10.0,8.0,9.02065997496526,8.20222046228054|11.0,8.0,10.000006449246035,8.00359144128132|12.0,8.0,11.020471523350292,7.79869435320314|13.0,8.0,12.06789852703214,7.637802755268423|14.0,8.0,13.108323018961697,7.547327754897192|15.0,8.0,14.11476521426526,7.534855534134643|16.0,8.0,15.083112897423321,7.600853358866015|17.0,8.0,16.03415752424911,7.7408700865677735|18.0,8.0,17.002082572199363,7.935495680053485|19.0,8.0,18.01004191558539,8.141361207911341|20.0,8.0,19.045432825101468,8.297995819779798|21.0,8.0,20.058481564988558,8.336961476334615|22.0,8.0,21.03711097507813,8.269897620747221|23.0,8.0,22.01029596509261,8.143129044180517|24.0,8.0,23.000000584077014,7.998919188413823|25.0,8.0,24.00775333596172,7.875715818766394|26.0,8.0,25.019685187232724,7.8025592041419545|27.0,8.0,26.020594810614927,7.798095381415908|28.0,8.0,27.007937830084472,7.874251636104103|29.0,8.0,28.00068797866571,8.0370875183421|30.0,8.0,29.039612362319588,8.278667517645378|31.0,8.0,30.113459210039423,8.462650437950808|32.0,8.0,31.13805500032938,8.507001792445365|33.0,8.0,32.107246685137106,8.45054580100287|34.0,8.0,33.0514523495024,8.316634418115715|35.0,8.0,34.00865359106478,8.131271845767627|36.0,8.0,35.00226369505024,7.932752206094174|37.0,8.0,36.02781236511371,7.765796664041268|38.0,8.0,37.05592245977735,7.670276482417241|39.0,8.0,38.05239043043318,7.68056909406667|40.0,8.0,39.01299398646454,7.8393166802532415|41.0,8.0,40.00366909187021,8.085584586844073|42.0,8.0,41.041383713510285,8.284701273753152|43.0,8.0,42.084886180983425,8.403195607918665|44.0,8.0,43.09796923690062,8.431671753097596|45.0,8.0,44.070884371559266,8.36978933054805|46.0,8.0,45.02470329122272,8.220898913189297|47.0,8.0,46.000004422782546,8.002974146184958|48.0,8.0,47.02899272743075,7.760950054135904|49.0,8.0,48.10256832140861,7.558846532076828|
|0.0,9.0,-0.9800737207913657,8.801365909738111|1.0,9.0,4.124784307284468E-4,9.028719100316708|2.0,9.0,1.0501807378360861,9.312799247477352|3.0,9.0,2.173163579470064,9.562442471445074|4.0,9.0,3.3131894232223056,9.726836454524875|5.0,9.0,4.404543307606662,9.803387408093995|6.0,9.0,5.40953728499754,9.807064918201704|7.0,9.0,6.328598230054111,9.741093559082474|8.0,9.0,7.198073429046726,9.597422609882756|9.0,9.0,8.07699386938076,9.38478524249157|10.0,9.0,9.012168346830565,9.155526926917954|11.0,9.0,10.003590296247168,8.915337716383293|12.0,9.0,11.056724558951966,8.667988791882506|13.0,9.0,12.1472671283391,8.47765274999388|14.0,9.0,13.222508079556254,8.371107072988814|15.0,9.0,14.240986386899227,8.348925246129365|16.0,9.0,15.193338308389718,8.408986535442349|17.0,9.0,16.10541339241478,8.553105379838643|18.0,9.0,17.02685206530699,8.769819424792779|19.0,9.0,18.000088669836543,9.013316599068292|20.0,9.0,19.021736383179185,9.207365127262657|21.0,9.0,20.03602990136656,9.266010618097551|22.0,9.0,21.0202725991364,9.200335268979426|23.0,9.0,22.001902444268477,9.061654434088382|24.0,9.0,23.005301937474556,8.897161464381627|25.0,9.0,24.031688597668463,8.75025407287659|26.0,9.0,25.06207414014892,8.65316418664934|27.0,9.0,26.072741362938004,8.625578552972815|28.0,9.0,27.052123299160648,8.681362651269648|29.0,9.0,28.01384828051696,8.834154330292757|30.0,9.0,29.00410767441631,9.090545435243905|31.0,9.0,30.047252124650257,9.303762219534539|32.0,9.0,31.06969306477419,9.366781960121754|33.0,9.0,32.05333046919872,9.322206144343152|34.0,9.0,33.02057402573294,9.201803768376681|35.0,9.0,34.00073551053102,9.038346839326152|36.0,9.0,35.00827296780146,8.87163531012514|37.0,9.0,36.0335886382916,8.742999844434081|38.0,9.0,37.0497504510038,8.688510361917897|39.0,9.0,38.03371646053337,8.742519668021336|40.0,9.0,39.00133503816014,8.94834446793032|41.0,9.0,40.031027709355754,9.247169375052094|42.0,9.0,41.13128403379671,9.495310579397902|43.0,9.0,42.23999978793132,9.649922824384218|44.0,9.0,43.29570744737357,9.709909853653937|45.0,9.0,44.27068578818558,9.684178909676055|46.0,9.0,45.17881363121296,9.570660098235678|47.0,9.0,46.06995264381487,9.367439675665352|48.0,9.0,47.00535991925806,9.103397822905862|49.0,9.0,48.01116220780665,8.851003957333823|
